,Lens ID,title,publication_year,abstract,tags,url,publication_type,affiliation,country_code
10,072-529-738-286-36X,Review of Core/Shell Quantum Dots Technology Integrated into Building’s Glazing,2019,"Skylights and windows are building openings that enhance human comfort and well-being in various ways. Recently, a massive drive is witnessed to replace traditional openings with building integrated photovoltaic (BIPV) systems to generate power in a bid to reduce buildings’ energy. The problem with most of the BIPV glazing lies in the obstruction of occupants’ vision of the outdoor view. In order to resolve this problem, new technology has emerged that utilizes quantum dots semiconductors (QDs) in glazing systems. QDs can absorb and re-emit the incoming radiation in the desired direction with the tunable spectrum, which renders them favorable for building integration. By redirecting the radiation towards edges of the glazing, they can be categorized as luminescent solar concentrators (QD-LSCs) that can help to generate electricity while maintaining transparency in the glazing. The aim of this paper is to review the different properties of core/shell quantum dots and their potential applications in buildings. Literature from various disciplines was reviewed to establish correlations between the optical and electrical properties of different types, sizes, thicknesses, and concentration ratios of QDs when used in transparent glazing. The current article will help building designers and system integrators assess the merits of integrating QDs on windows/skylights with regards to energy production and potential impact on admitted daylighting and visual comfort.",Building-integrated photovoltaics; Quantum dot; Daylighting; Luminescence; Electricity; Computer science; Photovoltaic system; Electricity generation; Glazing; Engineering physics; Transparency (human–computer interaction),http://dx.doi.org/10.3390/en12061058,journal article,United Arab Emirates University,ae
11,110-179-871-852-745,Optimal Configuration for Building Integrated Photovoltaics System to Mitigate the Partial Shading on Complex Geometric Roofs,2019,"Middle East region has a high capability of adopting Photovoltaics system due to the massive values of irradiation that this region has. Many new building proj ects being established in the region with roof spaces that can be utilized to install Building Integrated Photovoltaics (BIPV) system. However, due to the contemporary, sophisticated geometric design of the roofs in most of the building projects, the curvature of the rooftop creates a big insolation difference due to the partial shading of these rooftops. This paper illustrates the partial shading on the BIPV modules in one of Qatar's most recent project (Qatar Rail stations) by collecting data from the regional weather station and simulated data by using Building Information Modeling (BIM) for insolation simulation. The modeling of the BIPV system was done in MATLAB/Simulink. Different system configuration layout scenarios for different BIPV insolation were examined to show the behavior of which I-V and P-V characteristics with the highest insolation BIPV array. it is concluded that the system is preferred to be separated in parallel connection to not limit its current components with the smallest insolation value among all BIPV arrays. The outcomes of the proposed algorithm are believed suggestive for facilitating the development of BIPV systems-a new domain combined architecture and solar energy integration.",Building-integrated photovoltaics; Civil engineering; Roof; Weather station; Geometric design; Computer science; Solar energy; Photovoltaics; Building information modeling; Data modeling,http://dx.doi.org/10.1109/sgre46976.2019.9020981,conference article,Khalifa University,ae
12,187-606-368-409-276,MATLAB-based tool for modelling on-grid photovoltaic systems dedicated to the housing sector in UAE,2010,"On-grid photovoltaic systems are renowned and established systems in countries where solar and wind energy is used for residential buildings. The main objective of this project is to design a comprehensive MATLAB-based tool that performs a technical and economical analysis of on-grid photovoltaic systems. This tool will be used to design on-grid building-integrated photovoltaic (BIPV) systems for the United Arab Emirates (UAE) real-estate market. A large PV equipments database including PV modules and grid-connected inverters from various PV vendors' worldwide and weather information for Al-Ain in UAE are used in this tool. This database will offer good diversity for a PV designer to design a system that meets power requirements. Using this tool, an on-grid PV system is proposed for a real villa design in Al-Ain city.",Building-integrated photovoltaics; Engineering; Architectural engineering; Rooftop photovoltaic power station; Grid; Grid-connected photovoltaic power system; Systems engineering; Solar power; Photovoltaic system; Solar energy; Wind power,http://dx.doi.org/10.1504/ijcaet.2010.030548,journal article,United Arab Emirates University,ae
13,008-108-696-049-510,Tuning the colors of c-Si solar cells by exploiting plasmonic effects,2016,"The color of a crystalline silicon (c-Si) solar cell is mainly determined by its anti-reflective coating. This is a lambda/4 coating made from a transparent dielectric material. The thickness of the anti-reflective coating is optimized for maximal photocurrent generation, resulting in the typical blue or black colors of c-Si solar cells. However, for building-integrated photovoltaic (BiPV) applications the color of the solar cells is demanded to be tunable – ideally by a cheap and flexible coating process on standard (low cost) c-Si solar cells. Such a coating can be realized by applying plasmonic coloring which is a rapidly growing technology for high-quality color filtering and rendering for different fields of application (displays, imaging,…). In this contribution, we present results of an approach for tuning the color of standard industrial c-Si solar cells that is based on coating them with metallic nano-particles. In particular, thin films (< 20 nm) of a metal (e.g., silver) were sputtered onto c-Si solar cells and thermally annealed subsequently. The sizes and the shapes of the nano-particles (characterized by SEM) were found to depend on the thickness of the deposited films and the surface roughness of the substrates/solar cells. With such an approach it is possible to tune the color of the standard c-Si cells from blue to green and brownish/red. The position of the resonance peak in the reflection spectrum was found to be almost independent from the angle of incidence. This low angular sensitivity is a clear advantage compared to alternative color tuning methods, for which additional dielectric thin films are deposited on c-Si solar cells.",Optics; Thin film; Materials science; Crystalline silicon; Solar cell; Coating; Photovoltaic system; Plasmonic solar cell; Quantum dot solar cell; Polymer solar cell,http://dx.doi.org/10.1117/12.2237754,conference article,Joanneum Research,at
14,036-112-417-028-619,Custom designed photovoltaic modules for PIPV and BIPV applications,2017,"The vision to use Photovoltaics (PV) as a decentralized and sustainable source of energy in their products is shared by thousands of designers, architects, and manufacturers worldwide. In principle, PV can be integrated directly in products, such as devices, vehicles, and buildings. Nowadays, the development of photovoltaic modules is still primarily driven by the idea of economies of scales, which leads to unvaried PV modules that are only good for large-area installations. These photovoltaic modules are not suitable for the integration into building skins, roof tiles, or electric devices because of their rigidness and their electrical constraints. Even companies which could provide a solution for these applications (flexible thin-film PV firms) are not providing customized PV modules because of the associated set-up times. This paper addresses these obstacles and the development of novel solar cell materials and manufacturing processes. A novel manufacturing process is designed to enable the adjustment ...",Building-integrated photovoltaics; Engineering; Architectural engineering; Systems engineering; Photovoltaic mounting system; Roof; Solar cell; Manufacturing process; Photovoltaic system; Photovoltaics; Sustainable development,http://dx.doi.org/10.1063/1.4979820,journal article,Vienna University of Technology,at
15,000-643-214-057-432,"Building integrated photovoltaics (BIPV): costs, benefits, risks, barriers and improvement strategy",2015,"Building integrated photovoltaics (BIPV) refers to photovoltaic or solar cells that are integrated into the building envelope (such as facade or roof) to generate ‘free’ energy from sunshine, and it is one of the fastest growing industries worldwide. However, up until now, there have been limited studies that analysed cost‒benefit and risk factors/barriers of BIPV from a supply chain perspective; and there have also been limited studies that provide strategies to industry and academics in order to encourage BIPV diffusion and application. The aim of this research is to identify the costs, benefits and risks of BIPV and propose suggestions for greater BIPV application, from a stakeholder perspective, through a comprehensive review of current literature. The results of this research show that whilst BIPV have high initial investment capital costs, there are significant long-term benefits to be achieved for clients, end users and the entire society. Further, the results also show that BIPV costs decrease and...",Supply chain; Building-integrated photovoltaics; Engineering; Environmental economics; Architectural engineering; Building envelope; Stakeholder; Facade; Photovoltaic system; Invested capital; End user,http://dx.doi.org/10.1080/15623599.2015.1117709,journal article,RMIT University,au
16,000-839-579-587-81X,Suppression of natural convection heat transfer coefficients in an attic shaped enclosure,2010,"Abstract The use of convection suppression devices has been widely discussed in the literature as a means of reducing natural convection heat loss from enclosed spaces. In this study the use of a single baffle was examined as a possible low cost means of suppressing heat loss by natural convection in an attic shaped enclosure. Recently the authors experimentally demonstrated that the natural convection heat transfer for an attic shaped enclosure with Grashof Numbers in the range of 10 7 to 10 9 [1] could be predicted using a correlation in the literature developed for Grashof Numbers in the range 10 5 and 10 6 [2] . However, in this study the impact of adding a single baffle to the enclosure was examined. It was found that the heat transfer coefficient changes with increasing baffle length, and can be predicted using a modified form of the correlation presented in [1] , as shown in Eq.  (1) . (1) N u = 0.286 A − 0.286 G r 0.25 1 − L H 0.2",Convection; Grashof number; Baffle; Combined forced and natural convection; Materials science; Forced convection; Heat transfer coefficient; Natural convection; Thermodynamics; Enclosure,http://dx.doi.org/10.1016/j.icheatmasstransfer.2010.06.009,journal article,Deakin University,au
17,002-641-695-355-759,The effect of colour on the thermal performance of building integrated solar collectors,2010,"Abstract The use of solar collectors with coloured absorbers for water heating is an area of particular interest when considering their integration with buildings. By matching the absorber colour with that of the roof or facade of the building, it is possible to achieve an architecturally and visually pleasing result. Despite the potential for the use of coloured absorbers, very little work has been undertaken in the field. In this study, the thermal performance of a series of coloured (ranging from white to black), building integrated solar collectors for water heating was examined both theoretically and experimentally. Subsequently, the annual solar fraction for typical water heating systems with coloured absorbers was calculated. The results showed that coloured solar collector absorbers can make noticeable contributions to heating loads. Furthermore, although their thermal efficiency is lower than highly developed selective coating absorbers, they offer the advantage of improved aesthetic integration with buildings.",Optics; Thermal; Roof; Facade; Coating; Water heating; Environmental science; Thermal efficiency; Engineering physics,http://dx.doi.org/10.1016/j.solmat.2009.10.012,journal article,Deakin University,au
18,008-047-626-309-042,Design of a Mobile Probe to Predict Convection Heat Transfer on Building Integrated Photovoltaic (BIPV) at University of Technology Sydney (UTS),2015,"In the absence of a simple technique to predict convection heat transfer on building integrated photovoltaic (BIPV) surfaces, a mobile probe with two thermocouples was designed. Thermal boundary layers on vertical flat surfaces of a photovoltaic (PV) and a metallic plate were traversed. The plate consisted of twelve heaters where heat flux and surface temperature were controlled and measured. Uniform heat flux condition was developed on the heaters to closely simulate non-uniform temperature distribution on vertical PV modules. The two thermocouples on the probe measured local air temperature and contact temperature with the wall surface. Experimental results were presented in the forms of local Nusselt numbers versus Rayleigh numbers “Nu=a * (Ra)b”, and surface temperature versus dimensionless height [Ts -T∞= c*(z/h)d]. The constant values for “a”, “b”, “c” and “d” were determined from the best curve-fitting to the power-law relation. The convection heat transfer predictions from the empirical correlations were found to be in consistent with those predictions made by a number of correlations published in the open literature. A simple technique is then proposed to employ two experimental data from the probe to refine empirical correlations as the operational conditions change. A flexible technique to update correlations is of prime significance requirement in thermal design and operation of BIPV modules. The work is in progress to further extend the correlation to predict the combined radiation and convection on inclined PVs and channels.Copyright © 2015 by ASME",Convection; Building-integrated photovoltaics; Engineering; Nusselt number; Work (thermodynamics); Heat flux; Thermocouple; Thermal; Convective heat transfer; Mechanics; Mechanical engineering,http://dx.doi.org/10.1115/es2015-49764,conference article,"University of Technology, Sydney",au
19,009-617-017-163-832,Viable approaches for increasing the efficiency of buiding integrated photovoltaic systems,2015,"Nowadays, there is growing interest towards the area of building integrated photovoltaic (BIPV) systems and PV microgrids (MGs) in the field of power generation and distribution systems. This is mainly due to the higher adaptability and compatibility of these systems with preplanned sustainable development strategies in the most urban areas. The quiet operating process and movement free characteristic of photovoltaic systems brought them to the roof tops of the buildings in urban and rural areas and made them the most demanded means of renewable energy systems. This study highlights the problems affecting the performance and efficiency of BIPV systems and presents miscellaneous solutions and recommendations to solve these problems.",Smart grid; Building-integrated photovoltaics; Engineering; Architectural engineering; Adaptability; Renewable energy; Photovoltaic system; Electricity generation; Sustainable development; Energy management,http://dx.doi.org/10.1109/aupec.2015.7324864,conference article,Deakin University,au
20,010-715-380-433-141,Semi-transparent perovskite solar cells with a cross-linked hole transport layer,2020,"Abstract Semi-transparent perovskite solar cells (ST-PeSCs) have received great attention because of their excellent performance and promising application in areas such as tandem devices and building integrated photovoltaics (BIPVs). Critical across all these applications is achieving both high efficiency and stable photovoltaic performance of such devices. Realizing both of these properties simultaneously has not been possible using device architectures featuring the archetypal doped Spiro-OMeTAD as a hole transport layer (HTL). As such, in this work we explore the use of a solution-processed cross-linked HTL formed from N4,N4′-di(naphthalen-1-yl)-N4,N4′-bis(4-vinylphenyl)biphenyl-4,4′-diamine (VNPB) molecules as an alternative to the conventional Spiro-OMeTAD within an FTO/SnO2/C60-SAM/Perovskite/HTL/MoOx/ultra-thin gold/MoOx ST-PeSC device architecture. Through an optimized multi-step thermal treatment process that maximizes charge extraction and reduces recombination from these devices, we can achieve ST-PeSCs that exhibit record power conversion efficiencies for Spiro-OMeTAD-free devices with average visible transmittance values between 10 and 30%. These devices exhibit comparable efficiencies to their Spiro-OMeTAD counterparts, with the additional benefit that the use of the poly-VNPB as the HTL material provides significant improvements in long-term device stability under both continuous illumination and high humidity conditions.",Building-integrated photovoltaics; Transmittance; Perovskite (structure); Materials science; Tandem; Hole transport layer; Photovoltaic system; Optoelectronics; Doping; Thermal treatment,http://dx.doi.org/10.1016/j.nanoen.2020.104635,journal article,"Monash University, Clayton campus",au
21,015-532-211-849-867,Natural Convection in a PV-Integrated Double-Skin Facade using Large-Eddy Simulation,2011,"Abstract A numerical investigation studying natural convection in a PV-integrated double-skin facade is conducted using large-eddy simulation. The compressible three-dimensional Favre-filtered mass, momentum and energy conservation equations are closed using tthe Vreman subgrid-scale model while a two-stage predictor-corrector numerical methodology for low-Mach-number compressible flows is adopted. Mean wall temperatures and field profiles are well predicted when compared against existing experimental data. It is demonstrated that the present computer code is capable of capturing turbulent flow structures hence resulting in more accurate prediction of wall temperatures. It is also discovered that the turbulence which develops within the channel is able to sufficiently produce lower photovoltaic modules temperature.",Building-integrated photovoltaics; Physics; Large eddy simulation; Field (physics); Turbulence; Double-skin facade; Facade; Simulation; Natural convection; Mechanics; Compressibility,http://dx.doi.org/10.1016/j.proeng.2011.07.414,journal article,University of New South Wales,au
22,018-222-399-825-810,Spectrally-selective energy-harvesting solar windows for public infrastructure applications,2018,"A study of photovoltaic solar window technologies is reported and it focuses on their structural features, functional materials, system development, and suitability for use in practical field applications including public infrastructures and agricultural installations. Energy generation performance characteristics are summarized and compared to theory-limit predictions. Working examples of pilot-trial solar window-based installations are described. We also report on achieving electric power outputs of about 25 Wp/m2 from clear and transparent large-area glass-based solar windows.",Energy harvesting; Field (physics); Public infrastructure; Window (computing); Environmental science; Electric power; Photovoltaic system; Electricity generation; Photovoltaics; Engineering physics,http://dx.doi.org/10.3390/app8060849,journal article,Edith Cowan University,au
23,020-952-821-883-212,Experimental determination of natural convection heat transfer coefficients in an attic shaped enclosure,2010,"Abstract Heat transfer by natural convection in triangular enclosures is an area of significant importance in applications such as the design of greenhouses, attics and solar water heaters. However, given its significance to these areas it has not been widely examined. In this study, the natural convection heat transfer coefficients for air in an attic shaped enclosure were determined for Grashof Numbers over the range of 107 to 109. It was found that the measured heat transfer coefficients could be predicted to within 5% by Ridouane and Campo's [E.H. Ridouane, A. Campo, Experimental-based correlations for the characterization of free convection of air inside isosceles triangular cavities with variable apex angles, Experimental Heat Transfer 18 (2) (2005) 81–86] equation (Eq. (1)) for natural convection in a triangular enclosure previously developed for Grashof Numbers in the range of 105 to 106. (1) N u = 0.286 A − 0.286 G r 1 / 4 . As such, it is suggested that this equation may be suitable for predicting the natural convection heat transfer coefficients in full scale attic enclosures.",Rayleigh number; Grashof number; Materials science; Attic; Heat transfer coefficient; Film temperature; Heat transfer; Natural convection; Mechanics; Thermodynamics; Enclosure,http://dx.doi.org/10.1016/j.icheatmasstransfer.2010.01.008,journal article,Deakin University,au
24,022-106-536-127-960,Thermographic analysis of a building integrated photovoltaic system,2002,"A residential-scale building integrated photovoltaic (BiPV) cogeneration system has been thermographically investigated. The results are useful in calibrating the numerical models created to predict the system's operational temperatures. The combined heat and power system is based on existing BiPV roofing technology with the addition of a modular heat recovery unit. The convection of the air behind the panels will serve both to cool the photovoltaic panels and provide a heat source for the residence. The analysis allows for the interpretation of the surface emissivities and operating temperatures, as well as qualitative graphic analysis of temperature gradients.",Waste heat recovery unit; Building-integrated photovoltaics; Electrical engineering; Heat recovery ventilation; Engineering; Photovoltaic mounting system; Cogeneration; Photovoltaic system; Heat transfer; Mechanical engineering; Electric power system,http://dx.doi.org/10.1016/s0960-1481(01)00142-2,journal article,University of New South Wales,au
25,023-470-063-675-824,Tantalum Oxide Electron-selective Heterocontacts for Silicon Photovoltaics and Photoelectrochemical Water Reduction,2017,"Crystalline silicon (c-Si) solar cells have been dominating the photovoltaic (PV) market for decades, and c-Si based photoelectrochemical (PEC) cells are regarded as one of the most promising routes for water splitting and renewable production of hydrogen. In this work, we demonstrate a nanoscale tantalum oxide (TaOx, ∼6 nm) as an electron-selective heterocontact, simultaneously providing high-quality passivation to the silicon surface and effective transport of electrons to either an external circuit or a water-splitting catalyst. The PV application of TaOx is demonstrated by a proof-of-concept device having a conversion efficiency of 19.1%. In addition, the PEC application is demonstrated by a photon-to-current efficiency (with additional applied bias) of 7.7%. These results represent a 2% and 3.8% absolute enhancement over control devices without a TaOx interlayer, respectively. The methods presented in this Letter are not limited to c-Si based devices and can be viewed as a more general approach to th...",Materials science; Energy conversion efficiency; Crystalline silicon; Passivation; Water splitting; Photovoltaic system; Optoelectronics; Photovoltaics; Silicon; Atomic layer deposition,http://dx.doi.org/10.1021/acsenergylett.7b01153,journal article,Australian National University,au
