Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
S,"Ba, JK; Huang, XL; Yan, GG; Wang, XJ",,,IOP,Ba Jingkang; Huang Xiaoli; Yan Guogang; Wang Xiaojing,,,Performance Analysis of the BIPV of an Industrial Park in Wuhan,2018 2ND INTERNATIONAL CONFERENCE ON POWER AND ENERGY ENGINEERING (ICPEE 2018),IOP Conference Series-Earth and Environmental Science,,,,2nd International Conference on Power and Energy Engineering (ICPEE),"SEP 03-05, 2018","Xiamen Univ Technol, Xiamen, PEOPLES R CHINA",,Xiamen Univ Technol,,,"The performance of BIPV system is a crucial factor for its development. This paper chooses PV arrays installed on an industrial park buildings in Wuhan as a research object. The performance of PV array has been investigated at different tilt angles and orientations on the meteorological conditions of Wuhan. The performance of the amorphous silicon BIPV system and that of the polysilicon BIPV system are presented. The two BIPV systems are both 30 kW, with a tilt angle of 20 degrees and facing south. The performance analysis shows that average monthly output energy of the polysilicon system and that of the amorphous silicon system are 2440.85kWh and 2209.14kWh respectively. The performance of amorphous silicon BIPV system is better in May, June, July and August. The maximum monthly output energy can be obtained in August ( 3768kWh and 3308kWh). For the amorphous silicon BIPV systems facing south and with different tilt angles of 20 degrees and 10 degrees, more output energy can be obtained from the amorphous silicon BIPV system with a tilt angle of 20 degrees. The performance of the amorphous silicon BIPV systems oriented facing south with a tilt angle of 10 degrees and that of the amorphous silicon BIPV systems oriented facing north with the same tilt angle are also analyzed respectively in this paper. These analyzes will provide a reference for the development of BIPV in Wuhan.",,,,,,,,,,,,,,,,,1755-1307,,,,,,2018,192,,,,,,,,12051,10.1088/1755-1315/192/1/012051,,,,,,,WOS:000467868400051,,,,,,
S,"Yang, TT; Athienitis, AK",,"Haberle, A",,"Yang, Tingting; Athienitis, Andreas K.",,,A study of design options for a building integrated photovoltaic/thermal (BIPV/T) system with glazed air collector and multiple inlets,1ST INTERNATIONAL CONFERENCE ON SOLAR HEATING AND COOLING FOR BUILDINGS AND INDUSTRY (SHC 2012),Energy Procedia,,,,1st International Conference on Solar Heating and Cooling for Buildings and Industry (SHC),"JUL 09-11, 2012","San Francisco, CA",,,,,"In this paper, a prototype open loop air-based building integrated photovoltaic thermal BIPV/T system with a single inlet is studied through a comprehensive series of experiments in a full scale solar simulator recently built at Concordia University. A numerical control volume model is developed and validated based on the results from the experiments. Improved designs of the BIPV/T system with multiple inlets and other means of heat transfer enhancement are studied through simulations. Simulation results indicate that the application of two inlets on a BIPV/T collector increase thermal efficiency by around 5% and increase electrical efficiency marginally. An added vertical glazed solar air collector improves the thermal efficiency significantly, and the improvement is more significant with wire mesh packing in the collector. (C) 2012 The Authors. Published by Elsevier Ltd.",,,,,,,,,,,,,,,,,1876-6102,,,,,,2012,30,,,,,,177,186,,10.1016/j.egypro.2012.11.022,,,,,,,WOS:000322163100021,,,,,,
J,"Saretta, E; Caputo, P; Frontini, F",,,,"Saretta, Erika; Caputo, Paola; Frontini, Francesco",,,An integrated 3D GIS-based method for estimating the urban potential of BIPV retrofit of facades,SUSTAINABLE CITIES AND SOCIETY,,,,,,,,,,,,"To foster urban energy transition needed to limit the growing climate change' effects, the urban BIPV retrofit of facades can play a significant role thanks to the transformation of the existing energy-intensive building sector into an efficient energy producer. However, currently, there is a lack of tools for the evaluation of such potential mainly because it relies on several fragmented and heterogeneous urban data. Nevertheless, to exploit the not-negligible contribution of retrofitting facades with BIPV in urban energy transition, the assessment of this potential at the urban level should be considered. Therefore, this paper presents a novel integrated 3D GIS-based methodology for the evaluation of this potential, especially for the Swiss context and multi-family house buildings by combining data for the evaluation of the envelope retrofit potential and by increasing the accuracy of the assessment of the BIPV facade potential beyond typical LOD2. Moreover, it includes GIS-based tools for evaluating the BIPV facade potential, the energy retrofit potential of envelopes, and the annual and seasonal urban energy balance. Finally, implementation' results show that increasing the urban data' accuracy can significantly affect the urban BIPV retrofit potential of facades, thus providing new crucial information for energy planning.",,,,"; CAPUTO, PAOLA/G-6766-2015","Saretta, Erika/0000-0002-1791-0823; CAPUTO, PAOLA/0000-0002-2551-9445",,,,,,,,,,,,2210-6707,2210-6715,,,,NOV,2020,62,,,,,,,,102410,10.1016/j.scs.2020.102410,,,,,,,WOS:000573593400009,,,,,,
J,"Tripathy, M; Yadav, S; Sadhu, PK; Panda, SK",,,,"Tripathy, M.; Yadav, S.; Sadhu, P. K.; Panda, S. K.",,,Determination of optimum tilt angle and accurate insolation of BIPV panel influenced by adverse effect of shadow,RENEWABLE ENERGY,,,,,,,,,,,,"Building Integrated Photovoltaic (BIPV) technology is an immerging area of recent development which has a high potential to be implemented in urban areas. PV panels of BIPV system serve as structural elements and are required to be fixed at optimum tilt angle for maximum insolation. For open fields with no obstructions, HDKR (Hay, Davies, Klucher, Reindl) model is employed effectively for calculating the optimum tilt angle. For urban areas, it is required to consider the adverse effect i.e., shading and sky view blocking of building for accurate calculation of optimum tilt angle for determining maximum insolation. This is an attempt to calculate optimum tilt angle of a BIPV panel surrounded by buildings of different heights which are located at different radial distances from panel by employing modified HDKR model. The present mathematical model gives accurate insolation values as it accounts both shading and sky view blocking effects. This sky view blocking effect is expressed by a factor and is calculated by integrating the sky trapped curve plotted for any given tilt angle of the panel. Optimum tilt angle and insolation of BIPV panel are presented for different state capital of India by considering shadow effect because of surrounding buildings. (C) 2016 Elsevier Ltd. All rights reserved.",,,,"Panda, Sarat/N-3157-2019; SADHU, PRADIP KUMAR/K-3810-2017; Sadhu, Pradip Kumar/AAE-5176-2019","SADHU, PRADIP KUMAR/0000-0001-8104-5232; ",,,,,,,,,,,,0960-1481,,,,,APR,2017,104,,,,,,211,223,,10.1016/j.renene.2016.12.034,,,,,,,WOS:000392779500020,,,,,,
S,"Huang, YC; Chan, CC; Wang, SJ; Lee, SK",,"Yan, J; Lee, DJ; Chou, SK; Desideri, U; Li, H",,"Huang, Yen-Chieh; Chan, Chi-Chang; Wang, Shui-Jinn; Lee, Shin-Ku",,,Development of building integrated photovoltaic (BIPV) system with PV ceramic tile and its application for building facade,"INTERNATIONAL CONFERENCE ON APPLIED ENERGY, ICAE2014",Energy Procedia,,,,6th International Conference on Applied Energy (ICAE),"MAY 30-JUN 02, 2014","Taipei, TAIWAN",,,,,"In this paper, the single-crystal silicon-based solar cells laminated between tempered glass and ceramic tile is developed to be utilized in the building's facade. Firstly, the electrical, optical, and thermal properties of the proposed PV module are evaluated. Then, the wind-resistance test is implanted to evaluate the installation feasibility in Taiwan where have typhoon frequently. The electrical and deflection characteristics of the proposed PV module have no obviously changed after a 50 thermal cycling test and a 200 hour humidity-freeze test, based on IEC 61215, and a wind-resistance test, respectively. Finally, electrical power generation of the proposed BIPV system with 1 kWp electrical power capacity installed in a demonstration house is performed. The experimental results indicate that accumulative power generation is 185 kWh during 6-month monitoring period. And that, the exterior temperature of the demonstration house is lower than that on the surface of the BIPV system about 10 degrees C. The proposed BIPV system not only provides the passive energy for its power loading, but also improves the indoor thermal environment by fluent natural ventilation.",,,,,,,,,,,,,,,,,1876-6102,,,,,,2014,61,,,,,,1874,1878,,10.1016/j.egypro.2014.12.232,,,,,,,WOS:000375936100416,,,,,,
S,"Roeleveld, D; Hailu, G; Fung, AS; Naylor, D; Yang, T; Athienitis, AK",,"Perino, M",,"Roeleveld, D.; Hailu, G.; Fung, A. S.; Naylor, D.; Yang, T.; Athienitis, A. K.",,,Validation of Computational Fluid Dynamics (CFD) Model of a Building Integrated Photovoltaic/Thermal (BIPV/T) System,6TH INTERNATIONAL BUILDING PHYSICS CONFERENCE (IBPC 2015),Energy Procedia,,,,6th International Building Physics Conference (IBPC),"JUN 14-17, 2015","Torino, ITALY","ATI Piemonte, PolitecnicoTorino, Dept Energy",,,,"A building integrated photovoltaic/thermal (BIPV/T) system was studied using computational fluid dynamics (CFD). The BIPV/T system was composed of solar photovoltaic (PV) panels mounted in front of a wall/roof with an air channel in between. A numerical model was developed consisting of a PV layer, an air channel, and an insulation and plywood layer. Experiments were conducted by the Solar Simulator Laboratory at Concordia University using three different orientations of 0 degrees, 45 degrees and 90 degrees at two different flow rates. A comparison of the temperatures profiles between the numerical predictions and the experimental data is presented. Overall, the numerical results were in good agreement with the experimental data. (C) 2015 The Authors. Published by Elsevier Ltd.",,,,,,,,,,,,,,,,,1876-6102,,,,,,2015,78,,,,,,1901,1906,,10.1016/j.egypro.2015.11.359,,,,,,,WOS:000370934401160,,,,,,
J,"Zhang, TT; Wang, M; Yang, HX",,,,"Zhang, Tiantian; Wang, Meng; Yang, Hongxing",,,A Review of the Energy Performance and Life-Cycle Assessment of Building-Integrated Photovoltaic (BIPV) Systems,ENERGIES,,,,,,,,,,,,"Building integrated photovoltaic (BIPV) technology provides an aesthetical, economic, and technical solution for electricity self-sufficiency in buildings. As one of the most promising technologies for solar energy harvesting in urban areas, BIPV technology provides multiple benefits for buildings, including power generation from renewable energy resources, the replacement of traditional wall cladding, daytime lighting, heating/cooling load reduction, etc. This paper systematically reviews the progress of recent research on the electrical, thermal, optical, and overall energy performances of BIPV systems. Furthermore, based on the literature review on the energy payback time and the greenhouse-gas emission of various BIPV technologies, the research progress of the life-cycle assessment of BIPV systems is also discussed. It is anticipated that the review results can provide meaningful reference and support for the research and development of BIPV technology.",,,,"Wang, Meng/AAL-7860-2021; Yang, Hongxing/E-5737-2014","Wang, Meng/0000-0001-8178-844X; Yang, Hongxing/0000-0001-5117-5394",,,,,,,,,,,,,1996-1073,,,,NOV,2018,11,11,,,,,,,3157,10.3390/en11113157,,,,,,,WOS:000451814000295,,,,,,
J,"Calise, F; Cappiello, FL; d'Accadia, MD; Vicidomini, M",,,,"Calise, Francesco; Cappiello, Francesco Liberato; d'Accadia, Massimo Dentice; Vicidomini, Maria",,,"Dynamic simulation, energy and economic comparison between BIPV and BIPVT collectors coupled with micro-wind turbines",ENERGY,,,,,,,,,,,,"The work presents a dynamic simulation and an energy and economic analysis of two different Building Integrated Solar Technologies, namely: Building Integrated PhotoVoltaic (BIPV) collectors and Building Integrated hybrid PhotoVoltaic-Thermal (BIPVT) collectors. Both systems are coupled with small size Wind Turbines (WTs), to reduce the fluctuations of power production typical of solar systems. A case study is presented, referred to a hotel building, where a reversible air-to-water Heat Pump (HP) is used for space heating and cooling, driven by the electric energy provided by PV collectors and WTs. In order to optimize the HP performance in cooling mode, thermal energy is recovered from the HP desuperheater and used to produce domestic hot water (DHW). A two-stage cascade cycle HP for DHW purposes was also investigated, as a further alternative. The systems were simulated by means of a dynamic simulation model, developed in TRNSYS. The results show that the BIPV-based system is more profitable than the BIPVT one, achieving a simple payback period of about 4.5 years; for both systems, the optimum size of the WT system, for a given area of PV collectors, was also investigated. (C) 2019 Elsevier Ltd. All rights reserved.",,,,,"CAPPIELLO, Francesco Liberato/0000-0001-6292-686X; Vicidomini, Maria/0000-0003-2827-5092",,,,,,,,,,,,0360-5442,1873-6785,,,,JAN 15,2020,191,,,,,,,,116439,10.1016/j.energy.2019.116439,,,,,,,WOS:000509791500036,,,,,,
J,"Baetens, R; De Coninck, R; Helsen, L; Saelens, D",,,,"Baetens, R.; De Coninck, R.; Helsen, L.; Saelens, D.",,,THE IMPACT OF LOAD PROFILE ON THE GRID-INTERACTION OF BUILDING INTEGRATED PHOTOVOLTAIC (BIPV) SYSTEMS IN LOW-ENERGY DWELLINGS,JOURNAL OF GREEN BUILDING,,,,,,,,,,,,"A building integrated photovoltaic system (BIPV) system may produce the same amount of electricity as consumed in the building on a yearly base. The simultaneity of production and consumption however needs to be evaluated: the distribution grid is regarded as virtual storage and is loaded unconventionally or even overloaded. A detailed bottom-up modelling approach of the domestic load, thermal installations and the local generation of BIPV system may give more insight. The present paper aims at quantifying the impact of domestic load profiles on the grid-interaction of BIPV-equipped dwelling in a moderate Belgian climate wherefore the cover factor is defined. For a yearly electricity production that equals the yearly domestic demand, a cover factor of 0.42 is found if a classic heating system is installed, denoting that more than half of the produced electricity will be passed on to the grid and withdrawn on another moment. If a heat pump is used for space heating and domestic hot water, the cover factor decreases to 0.29.",,,,"Saelens, Dirk/AAA-6463-2020; Helsen, Lieve/B-7534-2015; Saelens, Dirk/B-4188-2015; Baetens, Ruben/B-8546-2014","Helsen, Lieve/0000-0002-9643-8204; Saelens, Dirk/0000-0003-3450-5448",,,,,,,,,,,,1552-6100,,,,,,2010,5,4,,,,,137,147,,10.3992/jgb.5.4.137,,,,,,,WOS:000289345900009,,,,,,
J,"Zhong, BT; Hei, YJ; Jiao, L; Luo, HB; Tang, JQ",,,,"Zhong, Botao; Hei, Yongjian; Jiao, Li; Luo, Hanbin; Tang, Junqing",,,Technology Frontiers of Building-integrated Photovoltaics (BIPV): A Patent Co-citation Analysis,INTERNATIONAL JOURNAL OF LOW-CARBON TECHNOLOGIES,,,,,,,,,,,,"Recently, greater research attention has focused on the application of solar power generation technology in building construction to reduce building energy consumption and encourage increased sustainable development. An emerging solar power generation technology is in the use of Building-integrated Photovoltaics (BIPVs), where photovoltaic materials are used to replace conventional building materials. In order to map the development of BIPV technology over time and explore technology paths, this study retrieved a total of 4914 patents dated from 1972 to 2016 from the Derwent Innovations Index patent database. This study applies patent co-citation analysis to map the patent co-citation network in three periods based on Ucinet tool. Evolutional path and three key technology frontiers were identified using Social Network Analysis (SNA) and text clustering. The results of this study provide an informed reference for future researchers in understanding the historical development of BIPV, as an emerging and important solar power generation technology in the built environment. At the same time, big data of patents are analyzed using SNA and text clustering, which overcomes the limitation of previous methods of frontiers study that have depended on expert opinion or peer review.",,,,"zhong, botao/AAH-3781-2019","Tang, Junqing/0000-0003-3343-8132",,,,,,,,,,,,1748-1317,1748-1325,,,,MAY,2020,15,2,,,,,241,252,,10.1093/ijlct/ctz068,,,,,,,WOS:000537453300009,,,,,,
J,"Celik, B; Karatepe, E; Silvestre, S; Gokmen, N; Chouder, A",,,,"Celik, Berk; Karatepe, Engin; Silvestre, Santiago; Gokmen, Nuri; Chouder, Aissa",,,Analysis of spatial fixed PV arrays configurations to maximize energy harvesting in BIPV applications,RENEWABLE ENERGY,,,,,,,,,,,,"This paper presents a new approach for efficient utilization of building integrated photovoltaic (BIPV) systems under partial shading conditions in urban areas. The aim of this study is to find out the best electrical configuration by analyzing annual energy generation of the same BIPV system, in terms of nominal power, without changing physical locations of the PV modules in the PV arrays. For this purpose, the spatial structure, of the PV system including the PV modules and the surrounding obstacles is taken into account on the basis of virtual reality environment. In this study, chimneys which are located on the residential roof-top area are considered to create the effect of shading over the PV array. The locations of PV modules are kept stationary, which is the main point of this paper, while comparing the performances of the configurations with the same surrounding obstacles that causes partial shading conditions. The same spatial structure with twelve distinct PV array configurations is considered. The same settling conditions on the roof-top area allow fair comparisons between PV array configurations. The payback time analysis is also performed with considering local and global maximum power points (MPPs) of PV arrays by comparing the annual energy yield of the different configurations. (C) 2014 Elsevier Ltd. All rights reserved.",,,,"silvestre, Santiago/L-2980-2014; Karatepe, Engin/J-5035-2015; Gokmen, Nuri/G-4287-2013; Celik, Berk/X-3494-2019","silvestre, Santiago/0000-0002-0342-6096; Karatepe, Engin/0000-0002-9729-6463; Gokmen, Nuri/0000-0001-5495-4465; ",,,,,,,,,,,,0960-1481,,,,,MAR,2015,75,,,,,,534,540,,10.1016/j.renene.2014.10.041,,,,,,,WOS:000347580600057,,,,,,
J,"Aaditya, G; Pillai, R; Mani, M",,,,"Aaditya, Gayathri; Pillai, Rohit; Mani, Monto",,,An insight into real-time performance assessment of a building integrated photovoltaic (BIPV) installation in Bangalore (India),ENERGY FOR SUSTAINABLE DEVELOPMENT,,,,,,,,,,,,"Building integrated photovoltaic (BIPV) applications are gaining widespread popularity. The performance of any given BIPV system is dependent on prevalent meteorological factors, site conditions and system characteristics. Investigations pertaining to the performance assessment of photovoltaic (PV) systems are generally confined to either controlled environment-chambers or computer-based simulation studies. Such investigations fall short of providing a realistic insight into how a PV system actually performs real-time. Solar radiation and the PV cell temperature are amongst the most crucial parameters affecting PV output. The current paper deals with the real-time performance assessment of a recently commissioned 5.25 kW, BIPV system installed at the Center for Sustainable Technologies, Indian Institute of Science, Bangalore. The overall average system efficiency was found to be 6% for the period May 2011-April 2012. This paper provides a critical appraisal of PV system performance based on ground realities, particularly characteristic to tropical (moderate) regions such as Bangalore, India. (C) 2013 International Energy Initiative. Published by Elsevier Inc. All rights reserved.",,,,,,,,,,,,,,,,,0973-0826,,,,,OCT,2013,17,5,,,,,431,437,,10.1016/j.esd.2013.04.007,,,,,,,WOS:000325675200004,,,,,,
J,"Hachana, O; Tina, GM; Hemsas, KE",,,,"Hachana, Oussama; Tina, Giuseppe Marco; Hemsas, Kamel Eddine",,,PV array fault DiagnosticTechnique for BIPV systems,ENERGY AND BUILDINGS,,,,,,,,,,,,"To ensure the cost effectiveness of photovoltaic power plants (PVPPs) it is needed to keep the level of yearly energy production as high as possible. In this context, efficiency and availability of a PVPP have to be checked continuously. The section of a PVPP which deserves more attention is surely the PV array, where many fault conditions can happen (shading, by-pass diode faults, cable interruptions, and so on). A diagnostic tool to detect faults in the PV array is desirable, even if its implementation is critical owing to: the fluctuation of the operating conditions (mainly irradiance), which complicates the instantaneous response investigation and costs and implementation constraints to implement a distributed (at PV module level) or semi-distributed (at string level) monitoring/diagnostic system. Particularly, for BIPV systems, further constraints related to the regular access for inspection and maintenance operations have to be considered. In this paper, the procedure adopted to develop and validate a diagnostic tool can be summarized in four steps: (1) using real data to model the PV array; (2) introducing several fault scenarios on the real PV string and analyzing the relative modifications of the I-V curves; (3) assessment of the meaningful parameters useful to discern the different faults by means of a PV generator (PVG) simulator based on a metaheuristic technique denominated ABC-DE; (4) proposition of several fault signing tables to assess the PV plant fault diagnostic. (C) 2016 Elsevier B.V. All rights reserved.",,,,"Tina, Giuseppe Marco/J-1855-2012; HEMSAS, KAMEL/AAC-7696-2019","Tina, Giuseppe Marco/0000-0003-3896-1838; HEMSAS, KAMEL/0000-0002-4886-1155; HACHANA, OUSSAMA/0000-0003-1380-8239",,,,,,,,,,,,0378-7788,1872-6178,,,,AUG 15,2016,126,,,,,,263,274,,10.1016/j.enbuild.2016.05.031,,,,,,,WOS:000381529300024,,,,,,
J,"Radmehr, M; Willis, K; Kenechi, UE",,,,"Radmehr, Mehrshad; Willis, Ken; Kenechi, Ugo Elinwa",,,A framework for evaluating WTP for BIPV in residential housing design in developing countries: A case study of North Cyprus,ENERGY POLICY,,,,,,,,,,,,"This paper explores people's preferences for a Built in Photovoltaic (BIPV) renewable energy system to be integrated into housing construction. A novel methodology was developed, to study the case of Northern Cyprus, for better understanding of possibilities that abound in BIPV integration. The methodology incorporates Building Information Modeling (BIM) as a real-time design and economic assessment tool for BIPV choices. This serves to benefit both the construction companies and potential house owners in their decision-making. In addition, it uses a Contingent Valuation (CV) method to assess the Willingness to Pay (WTP) and the Willingness to Accept (WTA) compensation. The results indicate that the capital cost of PV is not instrumental in choice, and a lower feed-in tariff could be acceptable. (C) 2014 Elsevier Ltd. All rights reserved.",,,,"Elinwa, Ugochukwu/M-3772-2017","Elinwa, Ugochukwu/0000-0002-9657-2630; radmehr, mehrshad/0000-0002-3822-5286",,,,,,,,,,,,0301-4215,1873-6777,,,,JUL,2014,70,,,,,,207,216,,10.1016/j.enpol.2014.03.041,,,,,,,WOS:000336698500020,,,,,,
J,"Cheng, CL; Jimenez, CSS; Lee, MC",,,,"Cheng, C. L.; Jimenez, Charles S. Sanchez; Lee, Meng-Chieh",,,"Research of BIPV optimal tilted angle, use of latitude concept for south orientated plans",RENEWABLE ENERGY,,,,,,,,,,,,"The present study analyzes the correlation between the optimal angle for a fixed Building Integrated Photovoltaic (BIPV) system and the latitude of the system's site as measured in degrees according to estimates made with PVSYST 3.41 software. Calculations were made for a BIPV south orientated tilted roof at 20 different locations in 14 countries, ranging from 0 degrees to 85 degrees, latitude in the Northern Hemisphere. In order to prove the reliability of using the latitude angle as the angle for the tilted panel, the correlation was made between the performance obtained with the system using the optimal angle and the system with the site's location angle. Results indicate that an average of 98.6% a system's performance with the optimal angle can be obtained using the latitude angle for the tilted panel. (C) 2008 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,0960-1481,,,,,JUN,2009,34,6,,,,,1644,1650,,10.1016/j.renene.2008.10.025,,,,,,,WOS:000264306500032,,,,,,
J,"D'Orazio, M; Di Perna, C; Di Giuseppe, E",,,,"D'Orazio, M.; Di Perna, C.; Di Giuseppe, E.",,,Experimental operating cell temperature assessment of BIPV with different installation configurations on roofs under Mediterranean climate,RENEWABLE ENERGY,,,,,,,,,,,,"The presence of an air gap between a photovoltaic (PV) module and roof facilitates ventilation cooling under the device and consequently reduces cell temperature and improves its performance. In case of rack-mounted PV installation, the Nominal Operating Cell Temperature (NOCT) method could be effectively used to predict the temperature of the module for various environmental conditions. Many countries, for esthetic purposes, offer economic advantages (tax deductions, incentives, etc ... ) for the installation of building integrated photovoltaic modules (BIPV), with water-tightness capability and adequate mechanical resistance in order to substitute tile covering or part of it. Nevertheless, poor or absent ventilation under BIPV panels could cause them to overheat and reduce their efficiency. Lack of validated predictive tools for the evaluation of BIVP energy performance could be another barrier to their widespread application. In this study, we investigated the thermal performance of PV modules installed in a real scale experimental building over a traditional clay tile pitched roof in Italy for almost one year (from August 2009 to June 2010). One PV module was rack-mounted over the roof covering with a 0.2 m air gap; the others were fully integrated and installed at the same level of the roof covering (one with an air gap of 0.04 m, the other mounted directly in contact with the insulation). Temperature and heat flux measurements for each panel, and environmental parameters were recorded. Two temperature prediction models, NoCT model and SNL (Sandia National Laboratory) model were used to predict BIPV temperature and energy efficiency so that their suitability for BIPV could be evaluated. SNL model takes into account also the wind speed. Experimental results demonstrate that even though the rack-mounted PV module constantly maintains cell temperature below that of the other full-building integrated modules, due to the presence of a higher air gap, the difference in the energy produced by the BIPV modules estimated for the entire monitoring period is less than 4%. The two predictive models, NOCT and SNL, cause the differences in predicted and calculated temperature up to 10 degrees C. However, subsequent percentage variations on the energy predicted compared to that arising from the temperature measured generally turn out to be lower than 5%. An optimization of empirical coefficients used for calculations based on the SNL method allows for the reduction of this value below 2.5%. (C) 2014 Elsevier Ltd. All rights reserved.",,,,"d'orazio, Marco/AAD-7121-2021; Di Giuseppe, Elisa/AAC-6733-2019; d'orazio, marco/E-8196-2012","Di Giuseppe, Elisa/0000-0003-2073-1030; DI PERNA, COSTANZO/0000-0002-7356-9906; d'orazio, marco/0000-0003-3779-4361",,,,,,,,,,,,0960-1481,,,,,AUG,2014,68,,,,,,378,396,,10.1016/j.renene.2014.02.009,,,,,,,WOS:000335706800042,,,,,,
J,"Keoleian, GA; Lewis, GM",,,,"Keoleian, GA; Lewis, GM",,,Modeling the life cycle energy and environmental performance of amorphous silicon BIPV roofing in the US,RENEWABLE ENERGY,,,,,,,,,,,,"Building integrated photovoltaics (BIPV) perform traditional architectural functions of walls and roofs while also generating electricity. The displacement of utility generated electricity and conventional building materials can conserve fossil fuels and have environmental benefits. A life cycle inventory model is presented that characterizes the energy and environmental performance of BIPV systems relative to the conventional grid and displaced building materials. The model is applied to an amorphous silicon PV roofing shingle in different regions across the US. The electricity production efficiency (electricity output/total primary energy input excluding insolation) for a reference BIPV system (2kW(p) PV shingle system with a 6% conversion efficiency and 20 year life) ranged from 3.6 in Portland OR to 5.9 in Phoenix, AZ indicating a significant return on energy investment. The reference system had the greatest air pollution prevention benefits in cities with conventional electricity generation mixes dominated by coal and natural gas, not necessarily in cities where the insolation and displaced conventional electricity were greatest. (C) 2002 Elsevier Science Ltd. All rights reserved.",,,,,"Lewis, Geoffrey/0000-0001-6426-6068",,,,,,,,,,,,0960-1481,,,,,FEB,2003,28,2,,,,,271,293,PII S0960-1481(02)00022-8,10.1016/S0960-1481(02)00022-8,,,,,,,WOS:000178463700009,,,,,,
J,"Shahsavar, A; Rajabi, Y",,,,"Shahsavar, Amin; Rajabi, Yalda",,,Exergoeconomic and enviroeconomic study of an air based building integrated photovoltaic/thermal (BIPV/T) system,ENERGY,,,,,,,,,,,,"The aim of this numerical investigation is to analyze the performance of a building integrated photovoltaic/thermal (BIPV/T) system from exergoeconomic and enviroeconomic points of view for Kermanshah, Iran climatic condition. In the proposed system, the cooling potential of supply air and exhaust air is used for cooling the PV panels as well as heating the supply air by heat rejection of the panels. The results showed that the yearly total amount of 3038.83 kWh thermal energy, 2259.64 kWh electrical energy, and 19.97 kWh useful exergy could be saved by using the studied BIPV/T system. Furthermore, the annual reduction of 5.94 tons of CO2 emission was achieved by using the proposed BIPV/T system. Finally, it was revealed that proposed system provides 32.52% of the required heating load for ventilation air on the average basis. (C) 2017 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,0360-5442,1873-6785,,,,FEB 1,2018,144,,,,,,877,886,,10.1016/j.energy.2017.12.056,,,,,,,WOS:000425561500073,,,,,,
J,"Zomer, C; Nobre, A; Reindl, T; Ruther, R",,,,"Zomer, Clarissa; Nobre, Andre; Reindl, Thomas; Ruther, Ricardo",,,Shading analysis for rooftop BIPV embedded in a high-density environment: A case study in Singapore,ENERGY AND BUILDINGS,,,,,,,,,,,,"Challenges such as partial shading and non-optimal tilt and azimuthal deviations are common in building integrated photovoltaic systems (BIPV). Therefore, it is important to be aware of the consequences on systems performance metrics, namely annual specific yield and performance ratio for these specialised applications. This paper describes detailed analyses of shading effects, irradiation resource availability and module temperature on the performance metrics of individual subsystems of a rooftop BIPV installation in a high-rise building embedded in a high-density environment in Singapore. The study indicates that a shading analysis during the design phase can highly improve PV systems performance by giving careful consideration about shaded modules to optimise the PV module string design. (C) 2016 Elsevier B.V. All rights reserved.",,,,"Ruther, Ricardo/AAL-6149-2020; Ruther, Ricardo/U-5503-2019","Ruther, Ricardo/0000-0003-1240-796X; ",,,,,,,,,,,,0378-7788,1872-6178,,,,JUN 1,2016,121,,,,,,159,164,,10.1016/j.enbuild.2016.04.010,,,,,,,WOS:000376697400015,,,,,,
