Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
WANK4EVA,journalArticle,2001,"Byrne, John; Zhou, Aiming; Alleng, Gerard",Economics of Building Integrated PV in China,,,,,https://udspace.udel.edu/handle/19716/1087,"Pacific Energy Center (China) and the Environmental Market Solutions, Inc. (U.S.)",2001-07,20.07.21 15:38,20.07.21 15:38,20.07.21 15:38,,,,,,,,,,,,,,en_US,,,,,udspace.udel.edu,,Accepted: 2005-04-08T15:12:32Z Publisher: Green Building Workshop,,/Users/jmccarty/Zotero/storage/2CCYTIWU/Byrne et al. - 2001 - Economics of Building Integrated PV in China.pdf; /Users/jmccarty/Zotero/storage/FVC2JZ8P/1087.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9IWCHEN6,webpage,,,Considering Photovoltaic Technology As A Part Of The Building Material,,,,,https://www.witpress.com/elibrary/wit-transactions-on-ecology-and-the-environment/54/741,,,20.07.21 15:38,20.07.21 15:38,20.07.21 15:38,,,,,,,,,,,,,,,,,,,,,,,/Users/jmccarty/Zotero/storage/KVAA3U56/741.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZG2BIG2,conferencePaper,2003,"Yamawaki, T.; Kondo, M.; Nakajima, A.; Tawada, Y.",Power generating behavior of thin-film silicon hybrid solar cell systems in Japan,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,"Thin-film silicon hybrid (a-Si/poly-Si stacked) solar cell modules whose conversion efficiency is around 10% have come into market since April, 2001. Field data of several BIPV system applications of thin-film silicon hybrid solar cell for about two years are presented, and compared with that of a-Si PV modules. DC PV system efficiency of thin-film silicon hybrid solar cell modules system shows very little seasonal fluctuation and is around 8% which is correspond to 9.4% temperature corrected value. On the other hand, that of a-Si module shows around 10% seasonal fluctuation. System performance ratio of both systems are mainly affected by set up and around 80% if one set up properly. For the rated efficiency of the thin-film silicon hybrid solar cell module is 9.04% in this case, thin-film silicon hybrid solar cell modules system generate more power than rated value, which is in good agreement with field test data of the modules which is presented separately. Although performance of thin-film photovoltaic modules are affected by S-W effect, irradiance spectrum, temperature coefficient, it looks there is liner relation between ambient temperature and performance ratio and helps easy estimation of PA performance.",2003-05,20.07.21 15:38,20.07.21 15:38,,2235-2238 Vol.3,,,3,,,,,,,,,,,,,,,IEEE Xplore,,,,/Users/jmccarty/Zotero/storage/LH3TBLCV/;jsessionid=ha7EkTOu_ARueQNKHtKCzjdkeslNnwUPGFZa7BpfLuD4HRsG5oWp!86280059.html,,,Temperature; Building integrated photovoltaics; Power generation; Solar power generation; Fluctuations; Hybrid power systems; Photovoltaic cells; Semiconductor thin films; Silicon; System performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,,,,,,,,,,,
D7PLARKS,conferencePaper,2003,"Maurus, H.; Schmid, M.; Blersch, B.; Lechner, P.; Schade, H.",BIPV installations worldwide in ASI/sup /spl reg// technology,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,"The thin-film technology based on amorphous silicon (a-Si) offers a range of attractive features that are ideally suited for building-integrated photovoltaic installations (BIPV). Solar modules may be assembled to custom-specific BIPV elements for roofs and facades, and thus may combine various functions, namely electricity generation, thermal insulation, shading, and even satisfy aspects of architectural design. Some of these functions rely on the fabrication of semitransparent modules that exhibit a color-neutral see-through effect (ASI THRU/sup /spl reg//). Compared to other PV technologies, a-Si modules show only a minor reduction in power output at elevated temperatures and at lower light levels, and thus offer superior energy yields per peak power. Recent BIPV installations worldwide demonstrate various design possibilities and build on the track record of past installations since 1992.",2003-05,20.07.21 15:38,20.07.21 15:38,,2375-2378 Vol.3,,,3,,,,,,,,,,,,,,,IEEE Xplore,,,,/Users/jmccarty/Zotero/storage/8FRZ7FD2/;jsessionid=nerEkUFEh15vY4kGcXXL2b-mqzToTBU3-S0HRiDf8YLEwmvkNAO2!-817775000.html,,,Temperature; Building integrated photovoltaics; Amorphous silicon; Power generation; Solar power generation; Semiconductor thin films; Assembly; Dielectrics and electrical insulation; Fabrication; Silicon on insulator technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,,,,,,,,,,,
ULMA6FEZ,conferencePaper,2003,"Bahaj, A. S.; Braid, R. M.; James, P. A. B.; Bahaj, A. S.; Braid, R. M.; James, P. A. B.",The importance of sensors in the determination of BIPV parameters and installation energy yield,,978-4-9901816-0-4,,10.1109/WCPEC.2003.1306350,https://eprints.soton.ac.uk/53831/,"Sensor reliability is important in building integrated photovoltaic installations to convey confidence in the correct operation of the installation and to quantify the yield of the PV system. This paper relates the experience gained from a PV fa?e installed at Southampton University, which was found to have irradiance sensors (reference cells), producing conflicting data. Specifically, when comparing the output of the various irradiance sensors it is apparent that performance ratio analysis of the PV system produces widely differing results. This paper discusses the critical impact of sensor accuracy on array power output and performance ratios. It serves to highlight that even small errors in irradiance measurement can determine whether or not a PV system is perceived as being ‘good’ based on its performance ratio.",2003-05,20.07.21 15:38,20.07.21 15:38,20.07.21 15:38,2046-2049,,,,,,,,,,,IEEE,,,,,,,eprints.soton.ac.uk,,Num Pages: 3136,,/Users/jmccarty/Zotero/storage/8YXMXYZZ/53831.html,,,,,,,"Bahaj, A. S.; Braid, R. M.; James, P. A. B.",,,,,,,,,,,,,,,,,,,,,,,,,,,3rd World Conference on Photovoltaic Energy Conversion (WPEC3) (11/05/03 - 15/05/03),,,,,,,,,,,,,,,
AZ53IU2S,conferencePaper,2003,"Takehara, T.; Hayashi, H.",Building integrated photovoltaics (BIPV) module design amp; experience in Japan,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,"Glass/glass laminated, semi-transparent BIPV module design and its application in Japan are discussed. Advantages of frameless design such as DPG (dot point glazing) and MPG (metal point glazing) and its advantages are emphasized. Large size semi-transparent type with crystalline silicon cells integrated in two sheets of tempered glass maximizes the architects design and durability requirement. Single responsibility through design, manufacturing and installation is also discussed.",2003-05,20.07.21 15:38,20.07.21 15:38,,2007-2010 Vol.2,,,2,,,,,,,,,,,,,,,IEEE Xplore,,,,/Users/jmccarty/Zotero/storage/JU82L7P5/;jsessionid=x8bEkVmuixxmgZNCBQoSOt8cOjW-SwtTxbfL4QLmsD9NvcMBRXZv!1886432883.html,,,Solar heating; Manufacturing; Photovoltaic systems; Building integrated photovoltaics; Solar power generation; Cables; Crystallization; Design engineering; Glass; Power engineering and energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,,,,,,,,,,,
E5TRY738,conferencePaper,2003,"Hongxing, Yang; Yuyan, Fung",Building-integrated photovoltaic application - its practice in Hong Kong,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,"Significant progress of renewable energy applications in Hong Kong has been made in recent years, especially building-integrated photovoltaic applications (BIPV). This paper presents an overall review of the BIPV projects completed in Hong Kong and the main results from two monitored BIPV systems. The technical, economical and management issues have been investigated for using the building-integrated photovoltaic technology in the territory. The problems and difficulties for its applications are discussed. The technical issue also includes the insulation and shading effects of BIPV claddings on building facades and the harmonics of the power output from PV systems. The technical and management requirements from the local utilities for grid connection and the test and commissioning details of the BIPV applications are also reported.",2003-05,20.07.21 15:38,20.07.21 15:38,,2490-2493 Vol.3,,,3,,,,,,,,,,,,,,,IEEE Xplore,,,,/Users/jmccarty/Zotero/storage/IIAVKPI6/1305097.html,,,Insulation; Building integrated photovoltaics; Monitoring; Power generation economics; Power system economics; Power system harmonics; Power system management; Renewable energy resources; Technology management; Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,,,,,,,,,,,
3BP37GWN,conferencePaper,2003,"Ruther, R.; Knob, P.; Beyer, H.G.; Dacoregio, M.M.; Montenegro, A.A.",High performance ratios of a double-junction a-Si BIPV grid-connected installation after five years of continuous operation in Brazil,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,"In September 1997 LABSOLAR, at Universidade Federal de Santa Catarina, installed the first grid-connected, thin-film, building-integrated PV system in Brazil. In this fully monitored installation, irradiation levels, temperatures and electrical performance data are measured and logged continuously. The AC and DC performance ratios (PR=ratio of actual to expected output) of this 2 kWp double-junction a-Si PV system after over five years of continuous operation have stabilized at an average of 82% and 92% respectively, with annual energy yields of /spl sim/1300 kWh/kWp for a /spl sim/1500 kWh/m/sup 2/ annual plane-of-array radiation level at the site. Our results show that in the stabilized state the PR is independent of the cell operating temperature, indicating a negligible temperature coefficient of power and good performance when operated at a warm site. Under the conditions described, undersizing the inverter with respect to the PV array power might lead to considerable power losses.",2003-05,20.07.21 15:38,20.07.21 15:38,,2169-2172 Vol.3,,,3,,,,,,,,,,,,,,,IEEE Xplore,,,,/Users/jmccarty/Zotero/storage/H9FB23W4/1305014.html,,,Temperature; Photovoltaic systems; Building integrated photovoltaics; Solar power generation; Laboratories; Monitoring; Electric variables measurement; Inverters; System testing; Transistors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,,,,,,,,,,,
UUQGT3JE,conferencePaper,2003,"Mondol, Jayanta Deb; Yohanis, Yigzaw; Smyth, Mervyn; Brian, Norton",Performance analysis of a grid-connected building integrated photovoltaic system,Unknown Host Publication,,,,https://pure.ulster.ac.uk/en/publications/performance-analysis-of-a-grid-connected-building-integrated-phot-3,,14.06.03,20.07.21 15:38,20.07.21 15:38,20.07.21 15:38,,,,,,,,,,,,International Solar Energy Society,,English,,,,,pure.ulster.ac.uk,,,,/Users/jmccarty/Zotero/storage/FKKE9JAQ/performance-analysis-of-a-grid-connected-building-integrated-phot-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISES Solar World Congress 2003,,,,,,,,,,,,,,,
BRJW9N8J,conferencePaper,2003,"van der Borg, N.J.C.M.; Jansen, M.J.",Energy loss due to shading in a BIPV application,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,"Building integrated PV systems are often subject to shading. This results in the loss of available irradiation and, in case of partial shading, it may result in the so-called mismatch loss. Monitoring data of a BIPV system were used to quantify these effects. The simulation tool PVSYST has been used to model the same effects. Comparison of the measured and modelled results show that the in-plane irradiation can be calculated from the irradiation on the horizontal plane accurately, even in presence of shading elements. The calculated mismatch loss due to the partial shading of strings seems to be overestimated in case of the chosen PV system.",2003-05,20.07.21 15:38,20.07.21 15:38,,2220-2222 Vol.3,,,3,,,,,,,,,,,,,,,IEEE Xplore,,,,/Users/jmccarty/Zotero/storage/KMEYCH28/1305026.html,,,Predictive models; Building integrated photovoltaics; Monitoring; Inverters; Energy loss; Loss measurement; Performance evaluation; Power measurement; Power system measurements; Temperature sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,,,,,,,,,,,
Q833WCYX,conferencePaper,2003,"Jahn, U.; Nasse, W.",Performance analysis and reliability of grid-connected PV systems in IEA countries,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,"This paper presents operational performance results of grid-connected PV systems, as collected and elaborated for the photovoltaic power systems programme of the International Energy Agency (IEA). Performance ratios (PR) obtained from 334 PV installations in 14 different countries are compared and discussed. In Germany, there is a significant rise of PR between early installations in the nineties and new installations. For Switzerland, BIPV and other types show high PR>0.80, but average PR values lower than expected were obtained. For Japan, lessons learnt from the current monitoring programmes are used to improve PV system performance showing constant performance at high level. As an outcome of this work, reliable and worldwide monitoring performance data and results are available for future developments of financing schemes (e.g. feed-in-tariffs) in order to stimulate the PV market.",2003-05,20.07.21 15:38,20.07.21 15:38,,2148-2151 Vol.3,,,3,,,,,,,,,,,,,,,IEEE Xplore,,,,/Users/jmccarty/Zotero/storage/TVXFH7M8/1305009.html,,,Photovoltaic systems; Building integrated photovoltaics; System performance; Power engineering and energy; Monitoring; Data analysis; Databases; Performance analysis; Power system reliability; Reliability engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of 3rd World Conference onPhotovoltaic Energy Conversion, 2003",,,,,,,,,,,,,,,
YU96WJRV,webpage,,,Brocade Desktop: irua,,,,,https://repository.uantwerpen.be/desktop/irua/core/index.phtml?language=E&euser=&session=&service=opacirua&robot=&deskservice=desktop&desktop=irua&workstation=&extra=loi=c:irua:143335,,,20.07.21 15:38,20.07.21 15:38,20.07.21 15:38,,,,,,,,,,,,,,,,,,,,,,,/Users/jmccarty/Zotero/storage/3RIN9LW3/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4PC6NSSY,journalArticle,2005,"Zhang, Zhengyang","The Chinese Renewable Energy Law and BIPV's Introduction, Application and Development in China",,,,,http://lup.lub.lu.se/student-papers/record/1327642,"This paper reviews building-integrated photovoltaic (BIPV) applications in China as one pathway toward diversification of the Chinese energy infrastructure. By analysing the potential of BIPV's penetration in Chinese urban areas and a scenario analysis in Beijing, this paper addresses the questions (1) Is BIPV feasible in China? (2) If the Chinese government chooses BIPV, what are the pros and cons? (3) How can obstacles be overcome to implement BIPV? In terms of current PV technology, a 5 kWp PV system occupying about 40 m2 rooftop area can produce c.a. 6 MWh electricity per year under average insolation levels in China. Given an approximate rooftop area in townships of roughly 4 billion m2 in 2003, installation of PV systems on just one third of these rooftops would enable annual generation of approximately 200 TWh. This represents 14% of Chinese annual electricity consumption in 2002 for BIPV or rooftop systems alone, independent of large concentrated solar facilities such as PV power plants. BIPV remains in its infancy or as a novelty in Chinese cities as demonstration projects and the potential of PV energy is far from full commercial exploitation. Globally, manufacturing capacity for PV cells recently exceeded 1 GW and the fastest increment of PV is the grid-connected PV system in residential rooftops, namely, BIPV in most cases. The Chinese Renewable Energy Law (CREL) is a landmark of Chinese government's endeavour to construct a harmonic society and transition to sustainable patterns of development. It supports a reduction in consumption of fossil fuels and seeks to stimulate renewable alternatives. Aiming for the enhancement of CREL this paper also analyses the background, contents and limitations of this law. Correlative recommendations for further improvement are given based on successful cases in other countries. To promote the rooftop programme of BIPV, economic incentives are discussed by adapting the German Feed-in Tariff to a scenario of a ?100 000 Rooftop Programme? in Beijing, China. Quantitative analysis of application of BIPV technology in Beijing as a sample case shows it is feasible in China. The environmental, social and economical benefits show BIPV should be developed in priority among all the renewables in Chinese cities. Finally, several suggestions on actions are given for policy-makers.",2005,20.07.21 15:38,20.07.21 15:38,20.07.21 15:38,,,,,,,,,,,,,,eng,info:eu-repo/semantics/openAccess,,,,lup.lub.lu.se,,,,/Users/jmccarty/Zotero/storage/TNU6C9FA/Zhang - 2005 - The Chinese Renewable Energy Law and BIPV's Introd.pdf; /Users/jmccarty/Zotero/storage/RALQ2UYY/1327642.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88XSCPCN,conferencePaper,2005,"Lo, E.",Overview of building integrated photovoltaic (BIPV) systems in Hong Kong,,978-962-367-472-0,,,http://ira.lib.polyu.edu.hk/handle/10397/1677,Author name used in this publication: Edward W. C. Lo,2005,20.07.21 15:38,20.07.21 15:38,20.07.21 15:38,,,,,,,,,,,,"Department of Electrical Engineering and Power Electronics Research Centre, The Hong Kong Polytechnic University",,en,Copyright © The Hong Kong Polytechnic University 2005,,,,ira.lib.polyu.edu.hk,,Accepted: 2014-12-11T08:26:36Z,,/Users/jmccarty/Zotero/storage/L4FUQSVK/Lo - 2005 - Overview of building integrated photovoltaic (BIPV.pdf; /Users/jmccarty/Zotero/storage/4K2UTZME/1677.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
