Lens ID,Title,External URL,status,error
112-597-864-827-263,Investigating the thermal behaviour and degradation rate of BIPV modules: Case study of a high-rise office building under different climatic conditions,https://www.narcis.nl/publication/RecordID/oai%3Apure.tue.nl%3Apublications%2F35fa748e-c812-4093-8f23-ab2156fbfe31,200,
125-959-008-102-443,A Review Study About Photovoltaic Systems and the Energy Payback Time Calculation for Selected Modules,http://www.jree.ir/article_100263.html,200,
126-148-761-553-92X,Collection of building typologies and identification of possibilities with optimal market share,https://repository.supsi.ch/11592/,200,
158-280-948-149-475,"Testing, Optimization and Design of a BIPV/T Solar Air Collector",https://ui.adsabs.harvard.edu/abs/2019PhDT........56C/abstract,200,
170-165-086-717-889,"Standardization, performance risks andidentification of related gaps for aperformance-based qualification in BIPV",https://repository.supsi.ch/11685/,200,
194-586-083-830-487,The Beginning of a Beautiful Relationship?Community Solar as a Business Model for Building-Integrated Photovoltaics,https://www.alexandria.unisg.ch/258009/,200,
087-823-562-422-867,Performance comparison of BAPV and BIPV systems with c-Si,http://umpir.ump.edu.my/id/eprint/24326/,200,
106-515-651-604-593,"COLOURED BIPV Market, research and development IEA PVPS Task 15, Report IEA-PVPS T15-07: 2019",https://repository.supsi.ch/11335/,200,
021-177-716-660-035,"Coloured BIPV : Market, Research and Development",http://www.diva-portal.org/smash/record.jsf?pid=diva2:1305998,200,bad
059-452-025-584-38X,"Energy performance, comfort, and lessons learned from an institutional building designed for net zero energy",https://ir.library.carleton.ca/pub/25152,200,
087-729-405-538-646,BIPV Design and Performance Modelling: Tools and Methods,https://repository.supsi.ch/12051,200,
065-923-656-278-317,Full-Scale Experimentation on Building an Integrated Photovoltaic Componentfor Naturally Ventilated Double-Skin Configuration,https://www.iomcworld.org/abstract/fullscale-experimentation-on-building-an-integrated-photovoltaic-componentrnfor-naturally-ventilated-doubleskin-configur-60287.html,200,
099-303-247-160-146,Role of solar energy in new trends of generation of electrical energy,http://engineeringjournals.stmjournals.in/index.php/JoPEPS/article/view/3842,200,
103-535-449-735-53X,BIM - A Driver for Cost Reduction within the BIPV Industry,https://www.eupvsec-proceedings.com/proceedings?paper=49508,200,
145-482-235-237-727,The influence of operating temperature and thermal effects on the performances of different BIPV modules,http://repository.supsi.ch/12157/,200,
146-740-542-865-200,A Comparative Study for a Building Integrated Semitransparent PhotovoltaicThermal (BISPVT) System Integrated to Roof with and without Duct,https://www.iomcworld.org/abstract/a-comparative-study-for-a-building-integrated-semitransparent-photovoltaicrnthermal-bispvt-system-integrated-to-roof-wit-60278.html,200,
165-476-540-893-514,Method for the cost evaluation of BIPV facades and multilevelcost analysis of six Swiss case studies,https://repository.supsi.ch/12018/,200,
069-716-299-131-520,FIRE PERFORMANCE ASSESSMENT OF BIPV FAÇADES EQUIPPED WITH ACTIVE RAPID SHUTDOWN,https://www.eupvsec-proceedings.com/proceedings?paper=49503,200,
085-665-896-037-949,Performance Assessment of BIPV Systems: Research on BIPV Characterization Methods,https://repository.supsi.ch/12019,200,
058-228-636-816-618,"Acceptance of Building Integrated Photovoltaic (BIPV) in Heritage Buildings and Landscapes: Potentials, Barrier and Assessment Criteria",https://repository.supsi.ch/12136/,200,
116-916-117-107-079,Energy : Market Analysis,https://www.iomcworld.org/abstract/energy-market-analysis-60289.html,200,
178-368-634-768-910,Building Integrated Photovoltaics: A practical handbook for solar buildings' stakeholders,https://repository.supsi.ch/12186/,200,
